,cumulative_major,cumulative_minor
2023-04-18,1.0,1.0
2023-04-19,1.0,1.0
2023-04-20,1.0,1.0
2023-04-21,1.0,1.0
2023-04-22,1.0,1.0
2023-04-23,1.0,1.0
2023-04-24,1.0,1.0
2023-04-25,1.0,1.0
2023-04-26,1.0,1.0
2023-04-27,1.0,1.0
2023-04-28,1.0,1.0
2023-04-29,1.0,1.0
2023-04-30,1.0,1.0
2023-05-01,1.0,1.0
2023-05-02,1.0,1.0
2023-05-03,1.0,1.0
2023-05-04,1.0,1.0
2023-05-05,1.0,1.0
2023-05-06,1.0,1.0
2023-05-07,1.0,1.0
2023-05-08,1.0,1.0
2023-05-09,1.0,3.0
2023-05-10,1.0,3.0
2023-05-11,1.0,3.0
2023-05-12,1.0,3.0
2023-05-13,1.0,3.0
2023-05-14,1.0,3.0
2023-05-15,1.0,4.0
2023-05-16,1.0,4.0
2023-05-17,1.0,4.0
2023-05-18,1.0,4.0
2023-05-19,1.0,4.0
2023-05-20,1.0,4.0
2023-05-21,1.0,4.0
2023-05-22,1.0,4.0
2023-05-23,1.0,4.0
2023-05-24,1.0,4.0
2023-05-25,1.0,5.0
2023-05-26,2.0,5.0
2023-05-27,2.0,5.0
2023-05-28,2.0,5.0
2023-05-29,2.0,6.0
2023-05-30,2.0,6.0
2023-05-31,2.0,8.0
2023-06-01,2.0,8.0
2023-06-02,2.0,6.0
2023-06-03,2.0,6.0
2023-06-04,2.0,6.0
2023-06-05,2.0,6.0
2023-06-06,2.0,6.0
2023-06-07,2.0,6.0
2023-06-08,2.0,6.0
2023-06-09,2.0,6.0
2023-06-10,2.0,6.0
2023-06-11,2.0,6.0
2023-06-12,2.0,6.0
2023-06-13,2.0,6.0
2023-06-14,2.0,6.0
2023-06-15,2.0,6.0
2023-06-16,2.0,6.0
2023-06-17,2.0,6.0
2023-06-18,2.0,6.0
2023-06-19,2.0,6.0
2023-06-20,2.0,6.0
2023-06-21,2.0,6.0
2023-06-22,2.0,6.0
2023-06-23,2.0,6.0
2023-06-24,2.0,6.0
2023-06-25,2.0,6.0
2023-06-26,2.0,6.0
2023-06-27,2.0,6.0
2023-06-28,2.0,6.0
2023-06-29,2.0,6.0
2023-06-30,2.0,6.0
2023-07-01,2.0,6.0
2023-07-02,2.0,6.0
2023-07-03,2.0,6.0
2023-07-04,2.0,6.0
2023-07-05,2.0,6.0
2023-07-06,2.0,6.0
2023-07-07,2.0,6.0
2023-07-08,2.0,6.0
2023-07-09,2.0,6.0
2023-07-10,2.0,6.0
2023-07-11,2.0,6.0
2023-07-12,2.0,6.0
2023-07-13,2.0,6.0
2023-07-14,2.0,6.0
2023-07-15,2.0,6.0
2023-07-16,2.0,6.0
2023-07-17,2.0,6.0
2023-07-18,2.0,6.0
2023-07-19,2.0,6.0
2023-07-20,2.0,6.0
2023-07-21,2.0,6.0
2023-07-22,2.0,6.0
2023-07-23,2.0,6.0
2023-07-24,8.0,8.0
2023-07-25,8.0,9.0
2023-07-26,8.0,9.0
2023-07-27,8.0,9.0
2023-07-28,8.0,9.0
2023-07-29,8.0,9.0
2023-07-30,8.0,9.0
2023-07-31,8.0,9.0
2023-08-01,8.0,9.0
2023-08-02,8.0,9.0
2023-08-03,8.0,9.0
2023-08-04,8.0,9.0
2023-08-05,8.0,9.0
2023-08-06,8.0,9.0
2023-08-07,8.0,9.0
2023-08-08,8.0,9.0
2023-08-09,9.0,9.0
2023-08-10,9.0,9.0
2023-08-11,9.0,9.0
2023-08-12,9.0,9.0
2023-08-13,9.0,9.0
2023-08-14,9.0,9.0
2023-08-15,9.0,9.0
2023-08-16,9.0,9.0
2023-08-17,9.0,9.0
2023-08-18,9.0,9.0
2023-08-19,9.0,9.0
2023-08-20,9.0,9.0
2023-08-21,9.0,9.0
2023-08-22,9.0,9.0
2023-08-23,11.0,9.0
2023-08-24,11.0,9.0
2023-08-25,11.0,9.0
2023-08-26,11.0,9.0
2023-08-27,11.0,9.0
2023-08-28,11.0,9.0
2023-08-29,11.0,9.0
2023-08-30,11.0,9.0
2023-08-31,11.0,9.0
2023-09-01,11.0,9.0
2023-09-02,11.0,9.0
